Country, Total_Cases2020 , Total_Cases2021 , Total_deaths_2020 , Population ,%Infection_of_Total_Population,Averager_yearly_temperature,Airline_Passengers,population_density,median_age,aged_65_older%,aged_70_older%,hospital_beds_per_thousand,human_development_index,Tobacco use (% of adults),Total_deaths_2021
United States," 20,217,056 "," 54,904,270 "," 350,555 "," 331,501,080 ",0.061,10,369500000,35.61,38.3,0.15,0.1,2.77,0.93,0.23,1093008
Brazil," 7,681,032 "," 22,291,839 "," 195,072 "," 213,196,304 ",0.036,25.93,45410000,25.04,33.5,0.09,0.05,2.2,0.77,0.128,693853
India," 10,286,709 "," 34,861,579 "," 148,994 "," 1,396,387,127 ",0.0074,24.8,68960000,450.42,28.2,0.06,0.03,0.53,0.65,0.27,530705
Russia," 3,127,347 "," 10,320,405 "," 56,271 "," 144,073,139 ",0.0217,-1.72,62450000,8.82,39.6,0.14,0.09,8.05,0.82,0.268,385789
Mexico," 1,426,094 "," 3,979,723 "," 125,807 "," 125,998,302 ",0.0113,22.08,34130000,66.44,29.3,0.07,0.04,1.38,0.78,0.131,331099
Peru," 1,015,137 "," 2,296,831 "," 93,070 "," 33,304,756 ",0.0305,19.95,5710000,25.13,29.1,0.07,0.04,1.6,0.78,0.081,218232
United Kingdom," 2,488,780 "," 12,937,886 "," 94,998 "," 67,081,000 ",0.0371,9.68,30970000,272.9,40.8,0.19,0.13,2.54,0.93,0.154,214878
Indonesia," 743,198 "," 4,262,720 "," 22,138 "," 271,857,970 ",0.0027,26.18,37520000,145.73,29.3,0.05,0.03,1.04,0.72,0.376,160612
Italy," 2,107,166 "," 6,125,683 "," 74,159 "," 59,438,851 ",0.0355,13.85,7800000,205.86,47.9,0.23,0.16,3.18,0.89,0.231,184642
Iran," 1,225,142 "," 6,194,401 "," 55,223 "," 87,290,193 ",0.014,18.35,12740000,49.83,32.4,0.05,0.03,1.5,0.78,0.14,144685
Colombia," 1,642,775 "," 5,157,440 "," 43,213 "," 50,930,662 ",0.0323,25.36,12270000,44.22,32.2,0.08,0.04,1.71,0.77,0.085,141881
France," 2,660,676 "," 10,018,021 "," 64,644 "," 67,571,107 ",0.0394,12.71,24960000,122.58,42,0.2,0.13,5.98,0.9,0.334,162031
Argentina," 1,625,514 "," 5,654,408 "," 43,245 "," 45,376,763 ",0.0358,15.52,3680000,16.18,31.9,0.11,0.07,5,0.85,0.245,130124
Germany," 1,719,737 "," 7,109,182 "," 33,071 "," 83,160,871 ",0.0207,10.79,25760000,237.02,46.6,0.21,0.16,8,0.95,0.22,161465
Ukraine," 1,086,997 "," 3,847,226 "," 19,281 "," 44,132,049 ",0.0246,10.86,1790000,77.39,41.4,0.16,0.11,8.8,0.78,0.258,118689
Poland," 1,294,878 "," 4,108,215 "," 28,554 "," 37,899,070 ",0.0342,10.03,2690000,124.03,41.8,0.17,0.1,6.62,0.88,0.24,118533
South Africa," 1,057,161 "," 3,458,286 "," 28,469 "," 58,801,927 ",0.018,18.47,8300000,46.75,27.3,0.05,0.03,2.32,0.71,0.203,102568
Spain," 1,928,265 "," 6,294,745 "," 50,837 "," 47,365,655 ",0.0407,14.65,26560000,93.11,45.5,0.19,0.14,2.97,0.9,0.277,117095
Romania," 632,263 "," 1,808,891 "," 15,767 "," 19,265,250 ",0.0328,11.3,1790000,85.13,43,0.18,0.12,6.89,0.83,0.28,67374
Philippines," 474,064 "," 2,843,979 "," 9,244 "," 112,190,977 ",0.0042,26.64,11180000,351.87,25.2,0.05,0.03,1,0.72,0.229,65385
Hungary," 322,514 "," 1,256,415 "," 9,537 "," 9,750,149 ",0.0331,12.25,14600000,108.04,43.4,0.19,0.12,7.02,0.85,0.318,48495
Chile," 608,973 "," 1,806,494 "," 16,608 "," 19,300,315 ",0.0316,9.97,8020000,24.28,35.4,0.11,0.07,2.11,0.85,0.292,63172
Ecuador," 212,512 "," 549,418 "," 14,034 "," 17,588,595 ",0.0121,21.78,1150000,66.94,28.1,0.07,0.04,1.5,0.76,0.113,35940
Vietnam," 1,465 "," 1,731,257 ", 35 ," 96,648,685 ",0,25.22,31770000,308.13,32.6,0.07,0.05,2.6,0.7,0.248,43186
Malaysia," 113,010 "," 2,758,086 ", 471 ," 33,199,993 ",0.0034,26.67,15890000,96.25,29.9,0.06,0.03,1.9,0.81,0.225,36853
Bulgaria," 202,266 "," 747,108 "," 7,576 "," 6,934,015 ",0.0292,12.5,440000,65.18,44.7,0.21,0.13,7.45,0.82,0.39,38108
Canada," 590,249 "," 2,223,735 "," 15,736 "," 38,037,204 ",0.0155,-4.27,27620000,4.04,41.4,0.17,0.11,2.5,0.93,0.13,49238
Pakistan," 482,178 "," 1,295,933 "," 10,176 "," 227,196,741 ",0.0021,20.81,3710000,255.57,23.5,0.04,0.03,0.6,0.56,0.202,30636
Belgium," 646,496 "," 2,105,343 "," 19,528 "," 11,538,604 ",0.056,11.88,3520000,375.56,41.8,0.19,0.13,5.64,0.93,0.234,33228
Bangladesh," 513,510 "," 1,585,539 "," 7,559 "," 167,420,951 ",0.0031,25.38,2980000,1265.04,27.5,0.05,0.03,0.8,0.63,0.347,29440
Tunisia," 139,140 "," 726,706 "," 4,676 "," 12,161,723 ",0.0114,20.87,1380000,74.23,32.7,0.08,0.05,2.3,0.74,0.246,29284
Iraq," 595,291 "," 2,093,740 "," 12,813 "," 42,556,984 ",0.014,23.45,760000,88.13,20,0.03,0.02,1.4,0.67,0.19,25373
Egypt," 138,062 "," 385,575 "," 7,631 "," 107,465,134 ",0.0013,23.18,4640000,98,25.3,0.05,0.03,1.6,0.71,0.243,24801
Thailand," 6,884 "," 2,223,435 ", 61 ," 71,475,664 ",0.0001,27.43,28180000,135.13,40.1,0.11,0.07,2.1,0.78,0.221,33594
Netherlands," 806,620 "," 3,153,512 "," 11,459 "," 17,441,500 ",0.0462,11.66,14750000,508.54,43.2,0.19,0.12,3.32,0.94,0.222,23079
Greece," 138,850 "," 1,210,853 "," 4,838 "," 10,698,599 ",0.013,14.8,5650000,83.48,45.3,0.2,0.15,4.21,0.89,0.335,34779
Bolivia," 160,124 "," 599,753 "," 9,165 "," 11,936,162 ",0.0134,21.35,2630000,10.2,25.4,0.07,0.04,1.1,0.72,0.127,22299
Portugal," 413,678 "," 1,389,646 "," 6,906 "," 10,297,081 ",0.0402,16.42,6220000,112.37,46.2,0.22,0.15,3.39,0.86,0.254,25714
Japan," 235,749 "," 1,733,307 "," 3,492 "," 126,261,000 ",0.0019,12.32,51130000,347.78,48.2,0.27,0.18,13.05,0.92,0.201,57274
Kazakhstan," 201,196 "," 1,072,518 "," 2,749 "," 18,755,666 ",0.0107,8.35,5280000,6.68,30.6,0.07,0.05,6.7,0.83,0.232,19057
Austria," 356,063 "," 1,270,811 "," 7,486 "," 8,916,864 ",0.0399,8.24,13290000,106.75,44.4,0.19,0.14,7.37,0.92,0.264,21443
Slovakia," 274,603 "," 1,371,082 "," 2,138 "," 5,458,827 ",0.0503,9.63,0,113.13,41.2,0.15,0.09,5.82,0.86,0.315,20823
Paraguay," 107,932 "," 466,101 "," 2,262 "," 6,618,695 ",0.0163,24.62,130000,17.14,26.5,0.06,0.04,1.3,0.73,0.115,19688
Guatemala," 138,012 "," 628,359 "," 4,813 "," 16,858,333 ",0.0082,24.35,30000,157.83,22.9,0.05,0.03,0.6,0.66,0.109,20001
Sweden," 437,379 "," 1,314,784 "," 8,727 "," 10,353,442 ",0.0422,4.47,14040000,24.72,41,0.2,0.13,2.22,0.95,0.24,21827
Sri Lanka," 43,299 "," 587,245 ", 204 ," 21,919,000 ",0.002,27.66,1240000,341.96,34.1,0.1,0.05,3.6,0.78,0.22,16817
Morocco," 439,193 "," 963,092 "," 7,388 "," 36,688,772 ",0.012,18.57,3010000,80.08,29.6,0.07,0.04,1.1,0.69,0.145,16294
Georgia," 227,420 "," 934,741 "," 2,505 "," 3,722,716 ",0.0611,9.92,70000,65.03,38.7,0.15,0.1,2.6,0.81,0.317,16897
Jordan," 294,494 "," 1,063,405 "," 3,834 "," 10,928,721 ",0.0269,19.92,820000,109.29,23.2,0.04,0.02,1.4,0.73,0.348,14122
Croatia," 210,837 "," 715,245 "," 3,920 "," 4,047,680 ",0.0521,12.46,610000,73.73,44,0.2,0.13,5.54,0.85,0.369,17596
Switzerland," 452,296 "," 1,332,615 "," 7,873 "," 8,638,167 ",0.0524,7.67,9010000,214.24,43.1,0.18,0.13,4.53,0.96,0.255,14173
Nepal," 260,593 "," 828,431 "," 1,856 "," 29,348,627 ",0.0089,13.97,1990000,204.43,25,0.06,0.03,0.3,0.6,0.304,12019
Honduras," 121,827 "," 379,402 "," 3,130 "," 10,121,763 ",0.012,25.21,90000,82.81,24.9,0.05,0.03,0.7,0.63,0,11071
Moldova," 144,818 "," 376,155 "," 2,985 "," 2,635,130 ",0.055,12.41,310000,123.66,37.6,0.11,0.07,5.8,0.75,0.29,11933
Lebanon," 181,503 "," 727,930 "," 1,468 "," 5,662,923 ",0.0321,15.97,1080000,594.56,31.1,0.09,0.05,2.9,0.74,0.382,10746
Saudi Arabia," 362,741 "," 556,236 "," 6,223 "," 35,997,107 ",0.0101,26.18,26990000,15.32,31.9,0.03,0.02,2.7,0.85,0.14,9518
Azerbaijan," 218,700 "," 616,947 "," 2,641 "," 10,093,121 ",0.0217,13.76,550000,119.31,32.4,0.06,0.04,4.7,0.76,0.24,10008
Israel," 423,262 "," 1,383,932 "," 3,325 "," 9,215,100 ",0.0459,20.41,1250000,402.61,30.6,0.12,0.07,2.99,0.92,0.212,12037
Armenia," 159,409 "," 344,930 "," 2,823 "," 2,805,608 ",0.0568,8.43,50000,102.93,35.7,0.11,0.08,4.2,0.78,0.26,8716
Panama," 246,790 "," 495,920 "," 4,022 "," 4,294,396 ",0.0575,25.9,3070000,55.13,29.7,0.08,0.05,2.3,0.82,0.05,8567
Lithuania," 145,052 "," 524,427 "," 1,800 "," 2,794,885 ",0.0519,8.96,40000,45.14,43.5,0.19,0.14,6.56,0.88,0.32,9481
Afghanistan," 52,330 "," 158,084 "," 2,189 "," 38,972,230 ",0.0013,12.88,450000,54.42,18.6,0.03,0.01,0.5,0.51,0.233,7849
Costa Rica," 169,321 "," 570,556 "," 2,185 "," 5,123,105 ",0.0331,25.08,460000,96.08,33.6,0.09,0.06,1.13,0.81,0.088,9072
Ethiopia," 124,264 "," 420,342 "," 1,923 "," 117,190,911 ",0.0011,23.38,4940000,104.96,19.8,0.04,0.02,0.3,0.49,0.051,7572
Algeria," 99,610 "," 218,432 "," 2,756 "," 43,451,666 ",0.0023,23.79,1460000,17.35,29.1,0.06,0.04,1.9,0.75,0.21,6881
Ireland," 91,779 "," 788,559 "," 2,237 "," 4,985,382 ",0.0184,9.79,54580000,69.87,38.7,0.14,0.09,2.96,0.96,0.208,8293
Libya," 100,277 "," 388,734 "," 1,478 "," 6,653,942 ",0.0151,22.63,720000,3.62,29,0.04,0.03,3.7,0.72,0,6437
Slovenia," 122,152 "," 464,048 "," 2,697 "," 2,102,419 ",0.0581,10.55,80000,102.62,44.5,0.19,0.13,4.5,0.92,0.22,7008
Belarus," 194,284 "," 699,110 "," 1,424 "," 9,379,952 ",0.0207,9.09,1230000,46.86,40.3,0.15,0.1,11,0.82,0.305,7118
Kenya," 96,458 "," 295,028 "," 1,670 "," 51,985,780 ",0.0019,25.43,1870000,87.32,20,0.03,0.02,1.4,0.6,0.111,5688
Venezuela," 113,558 "," 444,635 "," 1,028 "," 28,490,453 ",0.004,25.93,280000,36.25,29,0.07,0.04,0.8,0.71,0,5832
Zimbabwe," 13,867 "," 213,258 ", 363 ," 15,669,666 ",0.0009,21.92,320000,42.73,19.6,0.03,0.02,1.7,0.57,0.117,5637
China," 93,679 "," 115,168 "," 4,733 "," 1,411,100,000 ",0.0001,7.89,417260000,147.67,38.7,0.11,0.06,4.34,0.76,0.256,5250
Latvia," 40,904 "," 276,674 ", 635 ," 1,900,449 ",0.0215,8.56,1320000,31.21,43.9,0.2,0.14,5.57,0.87,0.37,6161
Oman," 128,867 "," 305,489 "," 1,499 "," 4,543,399 ",0.0284,27.82,2500000,14.98,30.7,0.02,0.02,1.6,0.81,0.08,4628
El Salvador," 46,242 "," 121,945 "," 1,327 "," 6,292,731 ",0.0073,25.79,810000,307.81,27.6,0.08,0.05,1.3,0.67,0.079,4230
Zambia," 20,725 "," 254,274 ", 388 ," 18,927,715 ",0.0011,22.03,10000,23,17.7,0.02,0.02,2,0.58,0.144,4024
Sudan," 25,500 "," 46,518 "," 1,468 "," 44,440,486 ",0.0006,27.42,390000,23.26,19.7,0.04,0.02,0.8,0.51,0,4994
Uganda," 35,216 "," 140,737 ", 251 ," 44,404,611 ",0.0008,23.37,10000,213.76,16.4,0.02,0.01,0.5,0.54,0.084,3630
Denmark," 163,479 "," 802,397 "," 1,298 "," 5,831,404 ",0.028,10.04,14040000,136.52,42.3,0.2,0.12,2.5,0.94,0.175,7758
Albania," 58,316 "," 210,224 "," 1,181 "," 2,837,849 ",0.0205,13.1,120000,104.87,38,0.13,0.09,2.89,0.8,0.224,3595
Cambodia, 378 ," 120,493 ", -   ," 16,396,860 ",0,27.9,610000,90.67,25.6,0.04,0.02,0.8,0.59,0.211,3056
Kuwait," 150,584 "," 417,135 ", 934 ," 4,360,444 ",0.0345,26.89,1820000,232.13,33.7,0.02,0.01,2,0.81,0.179,2570
Malawi," 6,583 "," 75,075 ", 189 ," 19,377,061 ",0.0003,22.8,0,197.52,18.1,0.03,0.02,1.3,0.48,0.108,2685
Australia," 28,425 "," 425,496 ", 909 ," 25,655,289 ",0.0011,22.57,23630000,3.2,37.9,0.16,0.1,3.84,0.94,0.136,17052
United Arab Emirates," 207,822 "," 761,937 ", 669 ," 9,287,289 ",0.0224,28.38,26120000,112.44,34,0.01,0.01,1.2,0.89,0,2348
Mozambique," 18,642 "," 189,080 ", 166 ," 31,178,239 ",0.0006,24.61,330000,37.73,17.7,0.03,0.02,0.7,0.46,0.143,2230
Mongolia," 1,195 "," 692,621 ", 1 ," 3,294,335 ",0.0004,1.53,140000,1.98,28.6,0.04,0.02,7,0.74,0.294,2136
Cameroon," 26,277 "," 109,367 ", 448 ," 26,491,087 ",0.001,25.22,40000,50.89,18.8,0.03,0.02,1.3,0.56,0.073,1965
Finland," 36,422 "," 270,829 ", 592 ," 5,529,543 ",0.0066,4.11,3500000,18.14,42.8,0.21,0.13,3.28,0.94,0.216,7933
Uzbekistan," 77,060 "," 198,903 ", 614 ," 34,232,050 ",0.0023,13.9,930000,76.13,28.2,0.04,0.03,4,0.72,0.176,1637
Bahrain," 92,675 "," 282,062 ", 352 ," 1,477,469 ",0.0627,28.15,1450000,1935.91,32.4,0.02,0.01,2,0.85,0.149,1539
Norway," 49,567 "," 394,259 ", 436 ," 5,379,475 ",0.0092,3.34,14040000,14.46,39.7,0.17,0.11,3.6,0.96,0.162,4670
Ghana," 54,771 "," 142,986 ", 335 ," 32,180,401 ",0.0017,28.1,320000,126.72,21.1,0.03,0.02,0.9,0.61,0.035,1461
Suriname," 6,210 "," 52,446 ", 122 ," 607,065 ",0.0102,26.9,90000,3.61,29.6,0.07,0.04,3.1,0.74,0,1393
Guyana," 6,332 "," 39,573 ", 164 ," 797,202 ",0.0079,26.52,20000,3.95,26.3,0.05,0.03,1.6,0.68,0.121,1286
Madagascar," 17,714 "," 50,279 ", 261 ," 28,225,177 ",0.0006,22.89,190000,43.95,19.6,0.03,0.02,0.2,0.53,0.278,1416
Luxembourg," 46,415 "," 103,766 ", 495 ," 630,419 ",0.0736,11.33,750000,231.45,39.7,0.14,0.1,4.51,0.92,0.211,1178
Singapore," 58,599 "," 279,405 ", 29 ," 5,685,807 ",0.0103,28.02,7880000,7915.73,42.4,0.13,0.07,2.4,0.94,0.165,1711
Mauritius, 527 ," 68,480 ", 10 ," 1,265,740 ",0.0004,23.53,410000,622.96,37.4,0.11,0.06,3.4,0.8,0.202,1041
Haiti," 9,999 "," 26,169 ", 236 ," 11,306,801 ",0.0009,25.26,20000,398.45,24.3,0.05,0.03,0.7,0.51,0.077,860
Tanzania, 509 ," 29,306 ", 21 ," 61,704,518 ",0,23.09,910000,64.7,17.7,0.03,0.02,0.7,0.53,0.087,845
Fiji, 49 ," 53,332 ", 2 ," 920,422 ",0.0001,25.29,410000,49.56,28.6,0.06,0.03,2.3,0.74,0.231,881
Cyprus," 22,346 "," 166,827 ", 120 ," 1,237,537 ",0.0181,19.73,100000,127.66,37.3,0.13,0.09,3.4,0.89,0.351,1258
Qatar," 143,834 "," 250,528 ", 245 ," 2,760,385 ",0.0521,28.45,10640000,227.32,31.9,0.01,0.01,1.2,0.85,0.118,685
Belize," 10,776 "," 32,840 ", 248 ," 394,921 ",0.0273,26.38,970000,16.43,25,0.04,0.02,1.3,0.72,0.085,688
Malta," 12,774 "," 52,473 ", 219 ," 515,332 ",0.0248,20.04,550000,1454.04,42.4,0.19,0.11,4.49,0.9,0.24,815
Burkina Faso," 6,707 "," 17,632 ", 85 ," 21,522,626 ",0.0003,29.63,70000,70.15,17.6,0.02,0.01,0.4,0.45,0.143,395
Togo," 3,633 "," 30,163 ", 68 ," 8,442,580 ",0.0004,27.82,320000,143.37,19.4,0.03,0.02,0.7,0.52,0.068,290
Seychelles, 226 ," 24,788 ", -   ," 98,462 ",0.0023,27.26,150000,208.35,36.2,0.09,0.06,3.6,0.8,0.202,172
Tajikistan," 13,665 "," 17,493 ", 90 ," 9,543,207 ",0.0014,3.59,260000,64.28,23.3,0.03,0.02,4.8,0.67,0,125
Eritrea," 1,320 "," 8,011 ", 3 ," 3,555,868 ",0.0004,26.38,50000,44.3,19.3,0.04,0.02,0.7,0.46,0.075,103
New Zealand," 2,162 "," 14,118 ", 26 ," 5,090,200 ",0.0004,10.91,8520000,18.21,37.9,0.15,0.1,2.61,0.93,0.137,2331
Iceland," 5,754 "," 27,059 ", 29 ," 366,463 ",0.0157,2,900000,3.4,37.3,0.14,0.09,2.91,0.95,0.12,229
Bhutan, 670 ," 2,660 ", -   ," 772,506 ",0.0009,10.4,50000,21.19,28.6,0.05,0.03,1.7,0.65,0,21
